image_id,PredictionString
000001,0.976666 11 40.794624 232.542572 144.268555 340.595734 0.990012 14 1.770500 14.500528 265.708313 480.907166
000002,0.931486 18 102.976578 199.232910 157.807404 302.810394
000003,0.646034 15 2.032228 104.213966 92.011124 210.489609
000004,0.980144 6 333.877625 224.512054 458.549866 261.367493 0.983844 6 126.833740 217.912567 174.466187 242.588058 0.987988 6 160.620972 219.493088 227.394241 245.898010 0.985321 6 11.870976 210.460922 80.689980 246.818268 0.937177 6 82.025414 219.454422 116.896729 237.301971 0.989859 6 215.636200 222.005569 310.713226 252.883591
000006,0.506508 8 153.433807 36.326973 236.323746 115.197769 0.972624 8 119.703316 143.270035 217.586044 277.414276 0.961359 10 129.806900 161.577484 323.961121 277.400726 0.595821 8 163.946564 143.374222 241.979813 179.377426 0.915479 8 215.743729 143.344620 290.698792 276.959320 0.930317 8 216.329895 148.692902 314.855652 277.222168
000008,0.791017 10 2.014995 93.332420 145.375900 211.917130 0.947383 8 171.686234 17.579254 310.177795 186.122345 0.605134 10 106.830727 141.313461 280.550903 273.324799 0.548860 8 294.548920 0.137620 432.214386 178.924240 0.534316 8 1.393363 0.240270 141.259644 214.015335
000010,0.945226 12 59.969555 88.940575 167.984253 425.848206 0.960255 14 87.194954 75.480919 168.058304 288.446533
000011,0.665331 7 125.236305 37.612926 247.596466 112.572388 0.582378 7 138.436203 38.269947 326.024292 221.536942 0.915000 7 149.933044 103.594948 328.708130 222.349060
000013,0.678099 16 265.090820 162.355377 395.460175 251.043701
000014,0.638073 5 74.469566 173.699631 295.631989 231.476151 0.960738 6 415.317841 179.729019 499.652496 219.998138 0.904879 14 356.652557 11.834728 398.629913 64.139236 0.835664 6 144.240799 194.685440 293.730042 237.878983 0.988757 6 182.313446 199.125381 499.265137 318.754211
000015,0.972912 1 63.990124 129.947540 311.996887 352.379456
000018,0.975407 11 29.316395 34.806431 319.257141 277.959381
000022,0.985072 14 189.493790 33.794266 255.030121 172.112946 0.972527 12 76.017532 76.539062 370.222626 211.701630
000025,0.883918 14 181.538345 0.490618 217.709213 76.267159 0.890867 14 56.810574 35.652782 142.551437 142.339920 0.860915 14 54.426395 44.456955 90.624489 104.081085 0.828376 14 248.339447 0.656446 292.398529 76.977402 0.900971 14 296.745880 0.677121 338.532288 86.187447 0.958550 14 119.742416 10.507654 199.266495 116.309006 0.690841 14 111.943398 11.047801 199.157272 157.138535 0.890196 14 176.621918 1.090664 300.393127 278.284546 0.946809 14 174.030716 1.618518 301.600281 167.972443 0.986063 14 279.005524 1.268484 439.866669 279.201019
000027,0.982354 14 112.228737 77.637268 228.632919 266.088257
000028,0.545154 7 39.321831 46.793877 250.856552 499.283722 0.934623 7 2.547853 45.334949 251.819412 499.205933
000029,0.960114 11 48.666046 62.176525 285.023621 288.854370
000031,0.975349 18 44.009655 94.917336 425.131775 257.120209
000037,0.981749 11 49.882828 95.922943 409.987854 341.086151
000038,0.975123 1 144.377228 174.094727 247.492401 246.729797 0.988404 14 168.025024 113.588547 228.386185 236.041855 0.677008 4 378.172516 146.183182 390.955811 187.916061
000040,0.714539 15 45.960873 146.117340 179.625259 221.913254
000043,0.983698 14 4.932274 141.146393 167.201324 501.108643 0.667005 14 65.407356 2.349883 201.610291 250.561737 0.789887 14 4.831752 142.229202 218.111847 500.341370 0.523532 14 62.373604 3.410593 218.964615 498.766235 0.767222 14 64.274292 3.126457 219.124847 404.426270 0.553365 14 3.458009 3.318131 217.614304 498.775055
000045,0.946724 4 304.855652 152.020416 331.773804 196.485199 0.921758 19 1.016498 90.088165 193.927597 199.367905 0.523391 19 2.825037 91.172440 174.625717 188.559525 0.954805 19 237.035599 28.897840 438.943665 182.041672
000049,0.961070 7 167.859848 86.241646 333.185913 155.572800
000053,0.930304 7 28.962971 8.401361 372.476929 264.896942
000054,0.954968 5 24.360239 60.371719 416.201965 285.586182
000055,0.560931 14 453.092194 271.274689 472.066071 326.187958 0.660738 14 274.983704 314.745331 297.009949 333.142883 0.639330 14 443.198090 273.755615 461.243622 326.642975 0.514299 14 437.815155 274.056244 455.228668 326.640594 0.990383 14 117.429123 154.513855 183.131714 201.978806 0.575148 14 218.599121 109.701607 264.931061 157.049515 0.592946 14 24.942142 230.873154 57.133549 269.054901 0.773073 14 212.293198 109.462547 266.323792 198.597916 0.669457 14 401.709656 268.685608 443.323944 311.117432 0.873154 14 464.387878 269.555786 490.107819 332.646149
000056,0.969877 12 165.184036 60.384937 380.178619 334.406372
000057,0.936409 2 117.194016 39.705051 339.926117 279.146698
000058,0.665824 14 171.952255 59.768658 256.844879 164.698547 0.530050 6 407.264160 84.431618 444.055969 172.953613 0.744607 13 33.816456 107.365364 325.562073 281.124146 0.948588 14 169.311722 60.193371 260.468475 232.289490 0.749234 14 1.840003 83.388702 98.578812 243.794556 0.985509 14 244.651306 41.866535 299.967102 230.569839 0.993425 14 290.475494 1.771945 384.958740 277.797180
000059,0.903044 19 125.210815 135.976913 177.276291 199.971405 0.762730 8 103.542198 346.397675 226.902542 500.178467 0.983983 14 80.012398 277.858856 106.042152 355.826141 0.669278 8 107.203110 379.459503 195.647293 500.821960 0.894796 19 59.462315 162.679642 94.115967 206.755371 0.988656 14 73.729675 215.224243 216.038391 499.585968 0.987525 14 48.945011 278.755371 73.293892 350.478882 0.576555 8 92.744415 270.233765 136.946777 357.320831 0.684098 8 108.661476 383.035614 226.869598 500.194794
000062,0.781807 16 53.613430 140.761215 273.829468 236.842697
000067,0.956238 0 40.676563 64.761810 449.347076 188.659546
000068,0.686184 2 53.978176 52.777626 211.267319 374.815521 0.704688 2 94.050896 52.932869 213.108047 374.605682 0.565587 8 2.885401 1.472779 402.402893 374.579712 0.821925 2 1.651809 48.739662 211.503876 374.652374
000069,0.957331 3 11.455014 64.460381 338.564880 187.992416 0.995645 14 241.771667 154.392044 311.330536 374.295929
000070,0.589167 19 123.397766 210.106644 176.838196 337.978363 0.769017 19 85.248711 207.400177 177.931870 341.320374 0.944747 15 258.431213 159.919327 291.401886 197.167847 0.697360 19 252.842422 48.566692 330.510986 164.904129
000071,0.990926 6 61.288967 66.525299 446.515015 182.757935 0.595894 6 245.785675 47.265182 341.821655 62.339546
000074,0.964504 6 59.152264 44.726254 175.459213 133.724258 0.989154 6 139.014435 41.402634 403.585968 193.071701 0.974297 6 360.501801 41.490860 474.822723 133.463715
000075,0.566486 11 72.310059 84.823967 164.828415 347.995239
000076,0.691063 14 476.536133 104.802521 499.949493 174.881821 0.907610 14 79.013794 103.299515 119.685440 183.510956 0.853268 14 452.730896 139.752335 477.542694 170.643646 0.970709 14 474.674530 106.286842 499.943329 228.787750 0.987614 14 0.969074 105.694992 26.499588 190.403519 0.949014 14 81.579544 104.480354 121.486702 157.527481 0.974370 14 245.576645 94.363411 291.004822 130.399384 0.991189 14 62.175377 51.995392 265.246796 250.465256 0.990943 14 43.928272 108.022400 80.884018 191.033035 0.985925 14 369.108459 87.131271 449.291504 169.950623 0.993321 14 257.905914 53.189678 451.694244 249.541260
000079,0.518219 11 2.048552 51.116562 367.251953 309.692780 0.887318 11 2.318531 51.019829 366.529266 356.099854
000080,0.947577 3 165.260223 201.181366 192.554260 287.353455 0.765913 3 65.069595 248.811295 99.262512 272.491638 0.831514 3 63.614742 232.904434 97.341118 272.699463 0.946763 3 350.798248 216.569733 379.571320 308.456848 0.932154 3 218.861282 202.787949 242.910660 281.880127
000082,0.986399 6 21.334930 97.293404 490.802704 297.497650
000084,0.980413 8 209.971222 187.069534 262.232361 283.657990 0.936169 8 130.501343 178.735138 181.833908 273.123047 0.979073 8 254.957321 170.394241 306.853180 270.876404 0.955491 10 136.361923 177.433105 282.254700 281.539886 0.659014 19 0.652567 15.684698 438.585388 371.280670 0.955078 8 302.000000 157.117691 347.846283 231.677017
000085,0.960347 14 341.741913 8.578468 498.375702 135.330795 0.772220 8 1.266383 71.162750 222.588242 220.763046 0.980104 14 14.299520 46.269814 253.113266 218.704086
000086,0.934728 14 271.756226 81.885277 293.234528 100.011284
000087,0.538124 18 86.209389 171.042145 181.397461 204.404922 0.728953 18 84.980171 171.569366 216.018295 206.089066 0.525530 18 4.728909 174.260880 209.876572 211.073990
000088,0.933873 18 110.366600 5.433183 435.910217 250.591675
000090,0.556107 14 182.459488 24.629595 310.680145 125.257034 0.960587 14 87.272697 24.319525 312.825134 183.564697 0.553903 14 84.569801 23.040745 311.557007 217.516129
000092,0.939433 7 76.913994 52.552299 345.416138 219.726700
000094,0.795473 13 1.998737 24.871279 500.626617 221.382507
000096,0.992461 14 1.244624 147.117981 121.637726 501.198578 0.989425 14 93.573868 102.409836 217.414963 499.816589
000097,0.747515 19 202.928024 171.039246 229.567993 202.410706 0.707969 14 167.749359 141.932785 205.952774 220.429947 0.831613 10 140.016785 220.354492 254.133102 317.629730 0.615858 8 1.754016 219.031631 126.716064 375.082825 0.856397 14 168.001480 141.665649 221.314697 224.393295 0.833359 17 37.833481 176.366379 174.317184 276.164520 0.691252 17 1.628902 220.345520 123.230103 375.089661
000098,0.879712 7 52.735340 86.272697 258.761505 161.612366
000100,0.940790 18 1.452500 51.672615 432.762238 218.437683
000103,0.977780 6 79.621201 224.892517 115.426834 251.656982 0.705530 6 132.805710 217.153320 153.456482 235.074005 0.981442 6 1.329822 242.421829 44.448109 277.204193 0.958458 6 22.240490 232.188904 60.864716 264.477661
000105,0.944023 3 18.244535 1.625312 323.458313 310.226318 0.983758 14 156.008804 71.444923 302.526672 223.689560
000106,0.561928 2 55.553837 96.530045 354.014221 249.271301 0.961675 2 178.807724 96.254738 353.240143 248.114990
